Date,corn,soybean_meal,hog,crush,corn + soybean_meal
2001-10-16,31012.5,15780.000000000002,160720.0,113927.5,46792.5
2001-10-17,31162.5,15840.0,161200.0,114197.5,47002.5
2001-10-18,30787.500000000007,15790.0,161520.0,114942.5,46577.50000000001
2001-10-19,30825.0,15630.000000000002,160160.0,113705.0,46455.0
2001-10-22,30637.5,15619.999999999998,158800.0,112542.5,46257.5
2001-10-23,30637.5,15630.000000000002,157840.0,111572.5,46267.5
2001-10-24,30975.0,15819.999999999998,152640.0,105845.0,46795.0
2001-10-25,30975.0,16130.000000000002,152240.0,105135.0,47105.0
2001-10-26,30825.0,16180.000000000002,153120.0,106115.0,47005.0
2001-10-30,30900.0,16219.999999999998,158880.0,111760.0,47120.0
2001-10-31,30825.0,16080.000000000002,165280.0,118375.0,46905.0
2001-11-01,30600.0,16460.0,166720.0,119660.0,47060.0
2001-11-02,30337.5,16440.0,169200.0,122422.5,46777.5
2001-11-05,30412.5,16300.0,169040.0,122327.5,46712.5
2001-11-06,30375.0,16210.0,163280.0,116695.0,46585.0
2001-11-07,30375.0,16190.0,162560.0,115995.0,46565.0
2001-11-08,30412.5,15890.0,164240.0,117937.5,46302.5
2001-11-09,30900.0,15930.000000000002,157840.0,111010.0,46830.0
2001-11-12,30825.0,15980.000000000002,153200.0,106395.0,46805.0
2001-11-13,30750.0,16180.000000000002,154880.0,107950.0,46930.0
2001-11-14,30975.0,16410.0,155760.0,108375.0,47385.0
2001-11-15,30900.0,16560.0,158320.0,110860.0,47460.0
2001-11-16,31087.499999999993,16560.0,153760.0,106112.5,47647.49999999999
2001-11-19,31387.499999999993,16319.999999999998,157440.0,109732.5,47707.49999999999
2001-11-20,31312.5,16230.000000000002,157280.0,109737.5,47542.5
2001-11-21,31312.5,16330.000000000002,158640.0,110997.5,47642.5
2001-11-23,31237.5,16240.0,162000.0,114522.5,47477.5
2001-11-26,30562.5,15819.999999999998,161440.0,115057.5,46382.5
2001-11-27,30525.0,15919.999999999998,160320.0,113875.0,46445.0
2001-11-28,29812.5,15619.999999999998,161200.0,115767.5,45432.5
2001-11-29,29962.5,15619.999999999998,158480.0,112897.5,45582.5
2001-11-30,31275.0,15710.0,161040.0,114055.0,46985.0
2001-12-03,36712.49999999999,15190.0,157200.0,105297.5,51902.49999999999
2001-12-04,36637.5,15030.000000000002,154560.0,102892.5,51667.5
2001-12-05,36487.5,14980.000000000002,150480.0,99012.5,51467.5
2001-12-06,36225.0,14950.0,152880.0,101705.0,51175.0
2001-12-07,36375.0,15030.000000000002,153680.0,102275.0,51405.0
